match,start_time,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Tries,Canberra Raiders,New Zealand Warriors,7.5,1.85,1.85,1.081,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Tries,Penrith Panthers,Cronulla Sharks,7.5,2.05,1.68,1.083,TAB
