match,home_team,away_team,market_name,player_name,over_price,prop_id
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Te Maire Martin,17,65912
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Izack Tago,17,66671
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Luke Garner,17,66672
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Blaize Talagi,17,66690
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Adam Pompey,19,65897
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Luke Metcalf,19,65900
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Kurt Capewell,19,65904
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Liam Martin,19,66680
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Brad Schneider,19,66686
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,William Kennedy,19,66691
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Briton Nikora,19,66701
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Matthew Timoko,21,65874
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Sebastian Kris,21,65875
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Hudson Young,21,65882
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,First Try Scorer,Dylan Walker,21,65907
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Jack Cole,21,66674
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Scott Sorensen,21,66679
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Luke Sommerton,21,66689
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Jesse Ramien,21,66693
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Kayal Iro,21,66694
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Braydon Trindall,21,66696
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,First Try Scorer,Nicholas Hynes,21,66697
