match,start_time,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,30.5,1.14,5.2,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,32.5,1.2,4.2,1.071,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,34.5,1.28,3.4,1.075,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,36.5,1.38,2.9,1.069,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,38.5,1.52,2.45,1.066,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,40.5,1.65,2.15,1.071,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,42.5,1.9,1.9,1.053,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,44.5,2.1,1.68,1.071,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,46.5,2.45,1.52,1.066,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,48.5,2.8,1.4,1.071,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,50.5,3.4,1.28,1.075,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,52.5,4,1.22,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Total Points,Canberra Raiders,New Zealand Warriors,54.5,5,1.15,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,27.5,1.1,6.2,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,29.5,1.16,4.8,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,31.5,1.22,4,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,33.5,1.3,3.3,1.072,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,35.5,1.42,2.75,1.068,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,37.5,1.55,2.35,1.071,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,39.5,1.72,2.05,1.069,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,40.5,1.95,1.85,1.053,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,41.5,1.95,1.8,1.068,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,43.5,2.25,1.6,1.069,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,45.5,2.6,1.46,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,47.5,3.1,1.34,1.069,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,49.5,3.7,1.25,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,51.5,4.5,1.18,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Total Points,Penrith Panthers,Cronulla Sharks,53.5,5.7,1.12,1.068,TAB
