match,start_time,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,2.5,1.9,New Zealand Warriors,-2.5,1.9,1.053,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-14.5,5.7,New Zealand Warriors,14.5,1.12,1.068,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-12.5,5,New Zealand Warriors,12.5,1.15,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-10.5,4.2,New Zealand Warriors,10.5,1.2,1.071,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-8.5,3.7,New Zealand Warriors,8.5,1.25,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-6.5,3.2,New Zealand Warriors,6.5,1.32,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-4.5,2.8,New Zealand Warriors,4.5,1.4,1.071,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,-2.5,2.5,New Zealand Warriors,2.5,1.5,1.067,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,4.5,1.72,New Zealand Warriors,-4.5,2.05,1.069,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,6.5,1.6,New Zealand Warriors,-6.5,2.25,1.069,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,8.5,1.48,New Zealand Warriors,-8.5,2.55,1.068,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,10.5,1.38,New Zealand Warriors,-10.5,2.9,1.069,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,12.5,1.3,New Zealand Warriors,-12.5,3.3,1.072,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,14.5,1.24,New Zealand Warriors,-14.5,3.8,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,16.5,1.18,New Zealand Warriors,-16.5,4.5,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,18.5,1.14,New Zealand Warriors,-18.5,5.2,1.07,TAB
Canberra Raiders v New Zealand Warriors,2025-03-02T00:00:00.000Z,Line,Canberra Raiders,20.5,1.11,New Zealand Warriors,-20.5,6,1.068,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-2.5,1.95,Cronulla Sharks,2.5,1.85,1.053,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-19.5,5.7,Cronulla Sharks,19.5,1.12,1.068,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-17.5,4.8,Cronulla Sharks,17.5,1.16,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-15.5,4,Cronulla Sharks,15.5,1.22,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-13.5,3.5,Cronulla Sharks,13.5,1.27,1.073,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-11.5,3.1,Cronulla Sharks,11.5,1.34,1.069,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-9.5,2.7,Cronulla Sharks,9.5,1.44,1.065,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-7.5,2.4,Cronulla Sharks,7.5,1.53,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-5.5,2.15,Cronulla Sharks,5.5,1.65,1.071,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,-3.5,1.95,Cronulla Sharks,3.5,1.8,1.068,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,2.5,1.5,Cronulla Sharks,-2.5,2.5,1.067,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,4.5,1.4,Cronulla Sharks,-4.5,2.8,1.071,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,6.5,1.32,Cronulla Sharks,-6.5,3.2,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,8.5,1.25,Cronulla Sharks,-8.5,3.7,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,10.5,1.2,Cronulla Sharks,-10.5,4.2,1.071,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,12.5,1.15,Cronulla Sharks,-12.5,5,1.07,TAB
Penrith Panthers v Cronulla Sharks,2025-03-02T04:30:00.000Z,Line,Penrith Panthers,14.5,1.11,Cronulla Sharks,-14.5,6,1.068,TAB
Sydney Roosters v Brisbane Broncos,2025-03-06T09:00:00.000Z,Line,Sydney Roosters,6.5,1.9,Brisbane Broncos,-6.5,1.9,1.053,TAB
Wests Tigers v Newcastle Knights,2025-03-07T07:00:00.000Z,Line,Wests Tigers,1.5,1.85,Newcastle Knights,-1.5,1.95,1.053,TAB
Dolphins v Souths,2025-03-07T09:05:00.000Z,Line,Dolphins,-5.5,1.9,Souths,5.5,1.9,1.053,TAB
St George Ill v Canterbury-Bankstown Bulldogs,2025-03-08T06:30:00.000Z,Line,St George Ill,5.5,1.95,Canterbury-Bankstown Bulldogs,-5.5,1.85,1.053,TAB
Manly Warringah Sea Eagles v Nth Qld,2025-03-08T08:35:00.000Z,Line,Manly Warringah Sea Eagles,-5.5,1.9,Nth Qld,5.5,1.9,1.053,TAB
Melbourne Storm v Parramatta Eels,2025-03-09T05:05:00.000Z,Line,Melbourne Storm,-9.5,1.85,Parramatta Eels,9.5,1.95,1.053,TAB
