match,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Canberra Raiders v New Zealand Warriors,Total Tries,Canberra Raiders,New Zealand Warriors,7.5,1.85,1.85,1.081,Sportsbet
Penrith Panthers v Cronulla Sharks,Total Tries,Penrith Panthers,Cronulla Sharks,6.5,1.59,2.2,1.083,Sportsbet
