match,home_team,away_team,market_name,player_name,line,over_price,prop_id
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Roger Tuivasa-Sheck,1.5,4.5,66455
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Mavrik Geyer,0.5,4.5,67236
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Zac Hosking,0.5,4.75,66320
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Addin Fonua-Blake,0.5,4.75,67247
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Teig Wilton,0.5,4.75,67251
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Simi Sasagi,0.5,5,66323
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Xavier Savage,1.5,5,66433
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Hohepa Puru,0.5,5,67261
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Paul Alamoti,1.5,5,67342
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Erin Clark,0.5,5.5,66343
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Eddie Ieremia-Toeava,0.5,5.5,66350
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Savelio Tamale,1.5,5.5,66430
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Edward Kosi,1.5,5.5,66472
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Isaah Yeo,0.5,5.5,67230
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Isaiah Papalii,0.5,5.5,67232
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Luron Patea,0.5,5.5,67234
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Casey McLean,1.5,5.5,67339
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Jesse McLean,1.5,5.5,67357
Penrith Panthers v Cronulla Sharks,Penrith Panthers,Cronulla Sharks,Player Tries,Samuel Stonestreet,1.5,5.5,67361
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Jamal Fogarty,0.5,6,66315
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Tom Starling,0.5,6,66317
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Owen Pattie,0.5,6,66322
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Danny Levi,0.5,6,66326
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Ethan Sanders,0.5,6.5,66328
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,James Fisher-Harris,0.5,6.5,66338
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Mitchell Barnett,0.5,6.5,66340
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Samuel Healey,0.5,6.5,66348
Canberra Raiders v New Zealand Warriors,Canberra Raiders,New Zealand Warriors,Player Tries,Jed Stuart,1.5,6.5,66450
