match,market_name,home_team,away_team,line,over_price,under_price,margin,agency
Canberra Raiders v New Zealand Warriors,Total Points,Canberra Raiders,New Zealand Warriors,42.5,1.99,1.82,1.052,Sportsbet
Penrith Panthers v Cronulla Sharks,Total Points,Penrith Panthers,Cronulla Sharks,39.5,1.85,1.96,1.051,Sportsbet
Sydney Roosters v Brisbane Broncos,Total Points,Sydney Roosters,Brisbane Broncos,43.5,1.9,1.9,1.053,Sportsbet
Wests Tigers v Newcastle Knights,Total Points,Wests Tigers,Newcastle Knights,42.5,2,1.81,1.052,Sportsbet
Dolphins v South Sydney Rabbitohs,Total Points,Dolphins,South Sydney Rabbitohs,44.5,1.98,1.83,1.051,Sportsbet
St George Illawarra Dragons v Canterbury-Bankstown Bulldogs,Total Points,St George Illawarra Dragons,Canterbury-Bankstown Bulldogs,39.5,1.82,1.99,1.052,Sportsbet
Manly Warringah Sea Eagles v North Queensland Cowboys,Total Points,Manly Warringah Sea Eagles,North Queensland Cowboys,43.5,1.82,1.99,1.052,Sportsbet
Melbourne Storm v Parramatta Eels,Total Points,Melbourne Storm,Parramatta Eels,42.5,1.94,1.86,1.053,Sportsbet
